block_id,titre,chapitre,section_or_article_header,text_content
## Bloc 5,,,Article 1,"Le présent Code du travail est applicable sur tout le territoire de la République de Côte d'Ivoire. Il régit des relations entre employeurs et travailleurs résultant de contrats de travail conclus pour être exécutés sur le territoire de la République de Côte d'Ivoire. Il régit également l'exécution occasionnelle, sur le territoire de la
blique de Côte d'Ivoire, d'un contrat de travail conclu pour être exécuté dans un autre Etat.
Toutefois, cette dernière disposition n'est pas applicable aux travailleurs déplacés pour une mission temporaire n'excédant pas trois mois. Il s'applique en certaines de ses dispositions aux apprentis et à toute
autre personne liée à l'entreprise en vue d'acquérir une qualification ou une expérience professionnelle."
## Bloc 5,,,Art. 2,"Au sens du présent Code, est considérée comme travailleur ou salarié, quels
que soient son sexe, sa race et sa nationalité, toute personne physique qui
s'est engagée à mettre son activité professionnelle, moyennant rémunération,
sous la direction et l'autorité d'une autre personne physique ou morale,
publique ou privée, appelée employeur.

Pour la détermination de la qualité de travailleur, il n'est tenu compte n1
du statut juridique de l'employeur, n1 de celui de l'employé.

Toutefois, les dispositions du présent Code ne sont pas applicables aux
personnes nommées dans un emploi permanent d'une administration
publique. De même, les travailleurs employés au service de l'Etat ou des
personnes morales de droit public et qui relèvent d'un statut particulier
échappent, dans la limite de ce statut et de celle des principes généraux du
droit administratif, à l'application du présent Code."
## Bloc 5,,,Art. 3,"Le travail forcé, ou obligatoire est interdit de façon absolue. On entend par
travail forcé ou obligatoire, tout travail ou service exigé d'un individu sous la
menace d'une peine quelconque pour lequel ledit individu ne s'est pas offert
de son plein gré."
## Bloc 5,,,Art. 4,"Sous réserve des dispositions expresses du présent Code ou de tout autre
texte de nature législative ou règlementaire protégeant les femmes et les
enfants, ainsi que des dispositions relatives à la condition des étrangers,
aucun employeur ne peut prendre en considération le sexe, l'âge,
l'ascendance nationale, la race, la religion, l'opinion politique et religieuse,
l'origine sociale, l'appartenance ou la non-appartenance à un syndicat et
l'activité syndicale, la séropositivité ou VIH ou le Sida avérés, ou présumés,
le handicap des travailleurs pour arrêter ses décisions en ce qui concerne,


notamment, l'embauchage, la conduite et la répartition du travail, la
formation professionnelle, l'avancement, la promotion, la rémunération,
l'octroi d'avantages sociaux, la discipline, ou la rupture du contrat de travail."
## Bloc 5,,,Art. 5,"Aucun salarié, aucune personne en formation ou en stage ne peut être
sanctionné n1 licencié pour avoir refusé de subir les agissements de
harcèlement moral ou sexuel d'un employeur, de son représentant ou de
toute personne qui, abusant de l'autorité que lui confèrent ses fonctions, a
donné des ordres, proféré des menaces, imposé des contraintes ou exercé des
pressions de toutes natures sur ce salarié.

Aucun salarié, aucune personne en formation ou en stage ne peut être
sanctionné n1 licencié pour avoir témoigné des agissements définis à l'alinéa
précédent ou pour les avoir relatés.

Nul ne peut prendre en considération le fait que la personne intéressée a
refusé de subir les agissements de harcèlement ou qu'une personne témoin
les a relatés, pour décider, notamment en matière d'embauche, de
rémunération, de formation, d'affectation, de qualification, de classification,
de promotion professionnelle, de mutation, de résiliation, de renouvellement
de contrat de travail ou de sanctions disciplinaire.

Constituent un harcèlement sexuel les comportements abusifs, les
menaces, les attaques, les paroles, les intimidations, les écrits, les attitudes ;
les agissements répétés à l'encontre d'un salarié, ayant une connotation
sexuelle, dont le but est d'obtenir des faveurs de nature sexuelle à son profil
ou au profit d'un tiers.

Constituent un harcèlement moral les comportements abusifs, les
menaces, les attaques, les paroles, les intimidations, les écrits, les attitudes,
les agissements répétés à l'encontre d'un salarié, ayant pour objet ou pour
effet la dégradation de ses conditions de travail et qui comme tels sont
susceptibles de porter atteinte à ses droits et a sa dignité, d'altérer sa santé
physique ou mentale ou de compromettre son avenir professionnel.


Le harcèlement se prouve par tous moyens."
## Bloc 5,,,Art. 6,"Tout licenciement motivé par l'action en justice pour faire respecter les
principes et droits fondamentaux au travail est nul et de nul effet. La
réintégration du salarié licencié au mépris de cette interdiction est de droit.

En cas de refus de réintégration, l'employeur est tenu au paiement de
dommages et intérêts dans les conditions de l'article 18.15 ci-après."
## Bloc 5,,,Art. 7,"Les dispositions prévues aux articles 4 et 5 sont affichées sur les lieux de
travail ainsi que dans les locaux ou à la porte des locaux où se fait
l'embauche.

Il en est de même pour les textes pris pour l'application desdits articles."
## Bloc 5,,,Art. 8,"Sous réserve de dérogation expresse, les dispositions du présent Code sont
d'ordre public. En conséquence, toute règle résultant d'une décision
unilatérale, d'un contrat ou d'une convention et qui ne respecte pas les
dispositions dudit Code ou des textes pris pour son application est nulle de
plein droit.

Toutefois, le caractère d'ordre public ne fait pas obstacle à ce que des
garanties ou droits supérieurs à ceux prévus par le présent Code soient
accordés aux travailleurs par décision unilatérale d'un employeur ou d'un
groupement patronal par un contrat de travail, une convention collective ou
un usage."
## Bloc 5,,,Art. 9,"Les travailleurs qui bénéficient d'avantages consentis préalablement à
l'entrée en vigueur du présent Code au titre d'une décision unilatérale de
l'employeur, d'un contrat de travail, d'une convention collective ou d'un
accord d'établissement continuent à en bénéficier pendant leur durée
respective, lorsque ces avantages sont supérieurs à ceux qui leur sont
reconnus par le présent Code."
## Bloc 5,,,Art. 10,"Un exemplaire du présent Code doit être remis par l'employeur aux
représentants :

- des délégués du personnel ;

- de chaque centrale syndicale ;

- du comité de santé et de sécurité au travail.


TRITRE I

EMPLOI

---"
